Date,Centre_Name,Commodity_Name,Price
25/11/1997,DELHI,Wheat,6.5
25/11/1997,SHIMLA,Wheat,NA
25/11/1997,LUCKNOW,Wheat,4.9
25/11/1997,AHMEDABAD,Wheat,7.5
25/11/1997,BHOPAL,Wheat,6
25/11/1997,MUMBAI,Wheat,9
25/11/1997,JAIPUR,Wheat,6.5
25/11/1997,PATNA,Wheat,NA
25/11/1997,BHUBANESHWAR,Wheat,7.5
25/11/1997,KOLKATA,Wheat,7
25/11/1997,GUWAHATI,Wheat,NA
25/11/1997,SHILLONG,Wheat,8
25/11/1997,AIZWAL,Wheat,NA
25/11/1997,AGARTALA,Wheat,NA
25/11/1997,BENGALURU,Wheat,9.5
25/11/1997,T.PURAM,Wheat,12
25/11/1997,CHENNAI,Wheat,11
25/11/1997,HYDERABAD,Wheat,8
26/11/1997,DELHI,Wheat,6.5
26/11/1997,SHIMLA,Wheat,NA
26/11/1997,LUCKNOW,Wheat,4.9
26/11/1997,AHMEDABAD,Wheat,7.5
26/11/1997,BHOPAL,Wheat,5.5
26/11/1997,MUMBAI,Wheat,8.5
26/11/1997,JAIPUR,Wheat,6.5
26/11/1997,PATNA,Wheat,NA
26/11/1997,BHUBANESHWAR,Wheat,7.5
26/11/1997,KOLKATA,Wheat,7
26/11/1997,GUWAHATI,Wheat,NA
26/11/1997,SHILLONG,Wheat,8
26/11/1997,AIZWAL,Wheat,NA
26/11/1997,AGARTALA,Wheat,NA
26/11/1997,BENGALURU,Wheat,9.5
26/11/1997,T.PURAM,Wheat,12
26/11/1997,CHENNAI,Wheat,NA
26/11/1997,HYDERABAD,Wheat,8.5
27/11/1997,DELHI,Wheat,6.5
27/11/1997,SHIMLA,Wheat,NA
27/11/1997,LUCKNOW,Wheat,4.9
27/11/1997,AHMEDABAD,Wheat,7.5
27/11/1997,BHOPAL,Wheat,5.5
27/11/1997,MUMBAI,Wheat,9
27/11/1997,JAIPUR,Wheat,6.5
27/11/1997,PATNA,Wheat,NA
27/11/1997,BHUBANESHWAR,Wheat,7.5
27/11/1997,KOLKATA,Wheat,7
27/11/1997,GUWAHATI,Wheat,NA
27/11/1997,SHILLONG,Wheat,8
27/11/1997,AIZWAL,Wheat,NA
27/11/1997,AGARTALA,Wheat,NA
27/11/1997,BENGALURU,Wheat,9.5
27/11/1997,T.PURAM,Wheat,12
27/11/1997,CHENNAI,Wheat,10.5
27/11/1997,HYDERABAD,Wheat,8.5
28/11/1997,DELHI,Wheat,6.5
28/11/1997,SHIMLA,Wheat,NA
28/11/1997,LUCKNOW,Wheat,4.9
28/11/1997,AHMEDABAD,Wheat,7.5
28/11/1997,BHOPAL,Wheat,5.5
28/11/1997,MUMBAI,Wheat,9
28/11/1997,JAIPUR,Wheat,6.5
28/11/1997,PATNA,Wheat,NA
28/11/1997,BHUBANESHWAR,Wheat,7.5
28/11/1997,KOLKATA,Wheat,7
28/11/1997,GUWAHATI,Wheat,NA
28/11/1997,SHILLONG,Wheat,8
28/11/1997,AIZWAL,Wheat,NA
28/11/1997,AGARTALA,Wheat,NA
28/11/1997,BENGALURU,Wheat,9.5
28/11/1997,T.PURAM,Wheat,12
28/11/1997,CHENNAI,Wheat,10.5
28/11/1997,HYDERABAD,Wheat,8.5
1/12/1997,DELHI,Wheat,6.5
1/12/1997,SHIMLA,Wheat,NA
1/12/1997,LUCKNOW,Wheat,4.9
1/12/1997,AHMEDABAD,Wheat,7.5
1/12/1997,BHOPAL,Wheat,5.5
1/12/1997,MUMBAI,Wheat,9.5
1/12/1997,JAIPUR,Wheat,6.5
1/12/1997,PATNA,Wheat,NA
1/12/1997,BHUBANESHWAR,Wheat,7.5
1/12/1997,KOLKATA,Wheat,7
1/12/1997,GUWAHATI,Wheat,NA
1/12/1997,SHILLONG,Wheat,8
1/12/1997,AIZWAL,Wheat,NA
1/12/1997,AGARTALA,Wheat,NA
1/12/1997,BENGALURU,Wheat,9.5
1/12/1997,T.PURAM,Wheat,12
1/12/1997,CHENNAI,Wheat,10.5
1/12/1997,HYDERABAD,Wheat,8.5
2/12/1997,DELHI,Wheat,6.5
2/12/1997,SHIMLA,Wheat,NA
2/12/1997,LUCKNOW,Wheat,4.9
2/12/1997,AHMEDABAD,Wheat,7.5
2/12/1997,BHOPAL,Wheat,6
2/12/1997,MUMBAI,Wheat,9.5
2/12/1997,JAIPUR,Wheat,6.5
2/12/1997,PATNA,Wheat,6.25
